GENERIC NAME,BRAND NAME,REASON FOR EXCLUSION
ANIDULAFUNGIN,ERAXIS,Automatic therapeutic interchange to micafungin (adults) or caspofungin (pediatrics).
BUPRENORPHINE transdermal patch,BUTRANS,No advantage of the patch over existing formulary alternatives.
DESLORATIDINE,AERIUS,Automatic therapeutic interchange to loratidine
DRONEDARONE,MULTAQ,Evidence of increased harm. The percentage of patients who cannot tolerate amiodarone is small and use in the community is limited.
,,Formulary alternative: amiodarone
EPLERENONE,INSPRA,No robust trials comparing eplerenone and spironolactone. 
,,Formulary alternative: spironolactone
FELODIPINE,RENEDIL,Automatic therapeutic interchange to amlodipine.
FEXOFENADINE,ALLEGRA,Automatic therapeutic interchange to loratidine
FIDAXOMICIN,DIFICID,Lack of evidence to show superiority over other available therapies in a reduction of significant adverse events.
MOXIFLOXACIN EYE DROPS,VIGAMOX,Moxifloxacin has not been shown to be superior to formulary options.
,,"Formulary alternatives: ofloxacin, ciprofloxacin"
NADROPARIN,FRAXIPARINE,"LMWH class has been reviewed. Formulary alternatives: dalteparin, enoxaparin."
PRASUGREL,EFFIENT,Ticagrelor has broader indication and stronger evidence; Ticagrelor is Restricted for continuity of care in patients who are using ticagrelor in the community OR as per Pharmacare criteria for physicians who have signed off on the Collaborative Prescribing Agreement
RABEPRAZOLE,PARIET,Automatic therapeutic interchange to pantoprazole or esomeprazole.
SAXAGLIPTIN,Onglyza,"Within the gliptin class, linagliptin may have clinical benefit, is covered by MOH, has dosing simplicity and lack of issues around drug interactions."
,,Automatic therapeutic interchange to linagliptin
SAXAGLIPTIN-METFORMIN,Komboglyze,"Within the gliptin class, linagliptin may have clinical benefit, is covered by MOH, has dosing simplicity and lack of issues around drug interactions."
,,Automatic therapeutic interchange to linagliptin and metformin
SITAGLIPTIN,Januvia,"Within the gliptin class, linagliptin may have clinical benefit, is covered by MOH, has dosing simplicity and lack of issues around drug interactions."
,,Automatic therapeutic interchange to linagliptin
SITAGLIPTIN-METFORMIN,"Janumet, Janumet XR","Within the gliptin class, linagliptin may have clinical benefit, is covered by MOH, has dosing simplicity and lack of issues around drug interactions."
,,Automatic therapeutic interchange to linagliptin and metformin
TADALAFIL,Adcirca,No head-to-head comparison for tadalafil and sildenafil. Tadalafil is more costly than sildenafil.
,,Formulary alternative: sildenafil
TINZAPARIN,INNOHEP,"LMWH class has been reviewed. Formulary alternatives: dalteparin, enoxaparin."
TOLVAPTAN,SAMSCA,"Tolvaptan has an undetermined effect on mortality and has not demonstrated clinical benefit in terms of reduced morbidity, health resource utilization, or quality of life in the treatment of hyponatremia"
